WF_Time,TF-IDF Time,TR- Time,WFI_Time,WF_Precision,TF-IDF Precision,TR- Precision,WFI_Precision,WF_Recal,TF-IDF Recal,TR- Recal,WFI_Recal,WF_F-Measure,TF-IDF F-Measure,TR- F-Measure,WFI_F-Measure
0.0042549,0.0276245,0.0111572,0.0030415,0.059196617,0.395348837,0.460887949,0.069767442,0.965517241,0.979057592,0.923728814,0.942857143,0.111553785,0.563253012,0.614950635,0.12992126
0.0017823,0.0108862,0.0045739,0.0018388,0.012820513,0.512820513,0.923076923,0.512820513,0.034482759,0.465116279,0.315789474,0.975609756,0.018691589,0.487804878,0.470588235,0.672268908
0.0014124,0.0082497,0.0047156,0.001589,0.381578947,0.276315789,0.894736842,0.381578947,0.966666667,0.287671233,0.282157676,0.966666667,0.547169811,0.281879195,0.429022082,0.547169811
0.001507,0.0086826,0.00448,0.0015047,0.333333333,0,0.803030303,0.03030303,0.814814815,0,0.204633205,0.047619048,0.47311828,0,0.326153846,0.037037037
0.0040346,0.0200046,0.0097013,0.0043587,0,0.018518519,0.407407407,0,0,0.00591716,0.081481481,0,0,0.00896861,0.135802469,0
0.0012979,0.0077392,0.0036891,0.0013214,0.033898305,0.288135593,0.677966102,0.440677966,0.071428571,0.278688525,0.173160173,0.787878788,0.045977011,0.283333333,0.275862069,0.565217391
0.0007757,0.0041684,0.0021672,0.0008353,0.375,0.041666667,0.770833333,0.583333333,0.782608696,0.044444444,0.308333333,0.848484848,0.507042254,0.043010753,0.44047619,0.691358025
0.001014,0.0061241,0.0026586,0.0010096,0.254545455,0.018181818,0.836363636,0.036363636,0.777777778,0.02173913,0.242105263,0.055555556,0.383561644,0.01980198,0.375510204,0.043956044
0.0011334,0.0073955,0.0032212,0.0012407,0,0.268656716,0.805970149,0,0,0.290322581,0.258373206,0,0,0.279069767,0.391304348,0
0.0007561,0.0037881,0.0019518,0.0007556,0.169230769,0.430769231,0.861538462,0.046153846,0.6875,0.571428571,0.486956522,0.081081081,0.271604938,0.49122807,0.622222222,0.058823529
0.0011623,0.0062851,0.0030454,0.0012339,0,0.153846154,0.876923077,0.553846154,0,0.909090909,0.257918552,0.972972973,0,0.263157895,0.398601399,0.705882353
0.001288,0.0079179,0.0036909,0.0013508,0.014492754,0.173913043,0.913043478,0.130434783,0.05,0.146341463,0.255060729,0.28125,0.02247191,0.158940397,0.398734177,0.178217822
0.0009463,0.005513,0.002747,0.0009832,0.2,0.328571429,0.7,0.028571429,0.608695652,0.348484848,0.291666667,0.048780488,0.301075269,0.338235294,0.411764706,0.036036036
0.0012022,0.0070557,0.0030863,0.0012529,0,0,0.960784314,0.382352941,0,0,0.411764706,0.975,0,0,0.576470588,0.549295775
0.0011785,0.0068271,0.0031455,0.0011939,0.189655172,0.206896552,0.775862069,0,0.6875,0.260869565,0.207373272,0,0.297297297,0.230769231,0.327272727,0
0.001056,0.0060825,0.0028165,0.0011252,0.56097561,0.390243902,0.902439024,0.87804878,0.92,0.41025641,0.18877551,0.9,0.696969697,0.4,0.312236287,0.888888889
0.0043358,0.021597,0.0113387,0.0041276,0.012345679,0.037037037,0.950617284,0.012345679,0.04,0.021126761,0.311740891,0.04,0.018867925,0.02690583,0.469512195,0.018867925
0.0014394,0.0094354,0.004335,0.0014874,0,0.238095238,0.880952381,0,0,0.087719298,0.140151515,0,0,0.128205128,0.241830065,0
0.0032847,0.018464,0.009312,0.0032789,0,0.8125,0.125,0.09375,0,0.155688623,0.015209125,0.075,0,0.261306533,0.027118644,0.083333333
0.0041485,0.0205215,0.0102201,0.0043124,0.024390244,0.341463415,0.634146341,0.146341463,0.041666667,0.105263158,0.110638298,0.127659574,0.030769231,0.16091954,0.188405797,0.136363636
0.0023781,0.0135446,0.0070963,0.0029499,0,0.333333333,0.638888889,0,0,0.12371134,0.091633466,0,0,0.180451128,0.160278746,0
0.0042319,0.0210893,0.0108016,0.0043452,0,0.026315789,0.973684211,0.973684211,0,0.015151515,0.142307692,0.973684211,0,0.019230769,0.248322148,0.973684211
0.0072366,0.030046,0.0182422,0.0074821,0.022222222,0.066666667,0.6,0,0.047619048,0.015463918,0.111111111,0,0.03030303,0.025104603,0.1875,0
0.0035691,0.0184011,0.0100939,0.0038646,0.135135135,0.027027027,0.972972973,0.135135135,0.2,0.014285714,0.143426295,0.2,0.161290323,0.018691589,0.25,0.161290323
0.0021524,0.0129874,0.0056487,0.0020013,0.967741935,0,0.935483871,0.967741935,0.9375,0,0.121338912,0.9375,0.952380952,0,0.214814815,0.952380952
0.0011777,0.007843,0.0035829,0.001212,0.529411765,0.019607843,0.901960784,0.529411765,0.931034483,0.014925373,0.201754386,0.931034483,0.675,0.016949153,0.329749104,0.675
0.0009896,0.006373,0.0030085,0.0010275,0.75,0.194444444,0.861111111,0,0.931034483,0.12962963,0.179190751,0,0.830769231,0.155555556,0.296650718,0
0.0048008,0.0251942,0.0144469,0.0048952,0.020408163,0.040816327,0.979591837,0,0.035714286,0.014492754,0.195918367,0,0.025974026,0.021390374,0.326530612,0
